año,codigo snies del programa,id genero,inscritos,semestre
2016,1169,2,221,2
2016,1170,1,315,2
2016,1172,2,97,2
2016,1173,2,191,2
2016,1175,2,160,2
2016,1176,2,45,2
2016,1178,2,66,2
2016,1179,1,58,2
2016,1180,1,35,2
2016,1192,1,104,2
2016,1193,2,59,2
2016,1195,1,75,2
2016,1196,1,92,2
2016,1197,2,15,2
2016,1199,1,9,2
2016,1200,2,25,2
2016,1201,1,11,2
2016,1202,1,34,2
2016,1203,2,29,2
2016,1204,2,16,2
2016,1205,1,161,2
2016,1206,1,2,2
2016,1207,1,3,2
2016,1208,2,5,2
2016,1210,1,5,2
2016,1211,2,2,2
2016,1212,1,3,2
2016,1213,2,3,2
2016,1214,1,3,2
2016,1217,2,13,2
2016,1224,2,19,2
2016,1228,1,4,2
2016,1229,1,12,2
2016,1236,1,97,2
2016,1237,2,324,2
2016,1238,1,212,2
2016,1239,1,199,2
2016,1240,2,296,2
2016,1241,1,23,2
2016,1242,1,14,2
2016,1244,2,185,2
2016,1245,2,504,2
2016,1246,2,34,2
2016,1247,1,149,2
2016,1248,2,91,2
2016,1249,2,31,2
2016,1250,2,84,2
2016,1251,2,15,2
2016,1252,2,69,2
2016,1254,2,102,2
2016,1256,1,29,2
2016,1259,2,4,2
2016,1261,2,10,2
2016,1264,1,16,2
2016,1265,2,117,2
2016,1266,2,15,2
2016,1267,2,17,2
2016,1268,2,40,2
2016,1269,2,425,2
2016,1270,2,119,2
2016,1271,2,139,2
2016,1272,1,195,2
2016,1273,2,136,2
2016,1275,1,20,2
2016,1276,1,164,2
2016,1277,1,48,2
2016,1279,1,109,2
2016,1280,2,92,2
2016,1283,1,52,2
2016,1284,2,20,2
2016,1285,1,22,2
2016,1291,2,45,2
2016,1293,2,110,2
2016,1294,1,20,2
2016,1295,1,829,2
2016,1296,2,11,2
2016,1297,2,534,2
2016,1298,1,164,2
2016,1299,1,230,2
2016,1300,1,5,2
2016,1301,2,127,2
2016,1302,2,10,2
2016,1303,2,84,2
2016,1305,1,49,2
2016,1307,2,198,2
2016,1308,1,2,2
2016,1309,1,32,2
2016,1310,2,46,2
2016,1315,1,116,2
2016,1317,1,55,2
2016,1321,1,1,2
2016,1323,1,161,2
2016,1324,2,6,2
2016,1325,1,20,2
2016,1326,2,10,2
2016,1328,2,22,2
2016,1329,2,37,2
2016,1330,2,27,2
2016,1331,2,33,2
