año,codigo snies del programa,matriculados,semestre
2020,1476,118.0,1.0
2020,1477,102.0,1.0
2020,1483,363.0,1.0
2020,1485,40.0,1.0
2020,1487,92.0,1.0
2020,1488,77.0,1.0
2020,1489,96.0,1.0
2020,1490,41.0,1.0
2020,1491,12.0,1.0
2020,1492,90.0,1.0
2020,1493,150.0,1.0
2020,1494,55.0,1.0
2020,1496,16.0,1.0
2020,1497,107.0,1.0
2020,1498,213.0,1.0
2020,1499,209.0,1.0
2020,1503,155.0,1.0
2020,1504,19.0,1.0
2020,1512,151.0,1.0
2020,1513,19.0,1.0
2020,1514,67.0,1.0
2020,1516,68.0,1.0
2020,1519,11.0,1.0
2020,1520,20.0,1.0
2020,1527,29.0,1.0
2020,1529,25.0,1.0
2020,1531,19.0,1.0
2020,1532,47.0,1.0
2020,1533,199.0,1.0
2020,1534,43.0,1.0
2020,1535,162.0,1.0
2020,1536,189.0,1.0
2020,1537,22.0,1.0
2020,1539,100.0,1.0
2020,1540,135.0,1.0
2020,1541,19.0,1.0
2020,1542,162.0,1.0
2020,1543,92.0,1.0
2020,1544,95.0,1.0
2020,1545,38.0,1.0
2020,1546,76.0,1.0
2020,1547,26.0,1.0
2020,1548,37.0,1.0
2020,1550,1.0,1.0
2020,1555,1.0,1.0
2020,1573,10.0,1.0
2020,1574,34.0,1.0
2020,1575,31.0,1.0
2020,1576,11.0,1.0
2020,1578,33.0,1.0
2020,1579,9.0,1.0
2020,1580,4.0,1.0
2020,1581,26.0,1.0
2020,1582,6.0,1.0
2020,1585,4.0,1.0
2020,1587,4.0,1.0
2020,1591,17.0,1.0
2020,1592,77.0,1.0
2020,1595,28.0,1.0
2020,1596,43.0,1.0
2020,1597,30.0,1.0
2020,1598,105.0,1.0
2020,1599,58.0,1.0
2020,1605,23.0,1.0
2020,1606,28.0,1.0
2020,1614,10.0,1.0
2020,1621,20.0,1.0
2020,1622,25.0,1.0
2020,1626,22.0,1.0
2020,1627,24.0,1.0
2020,1628,34.0,1.0
2020,1630,44.0,1.0
2020,1635,38.0,1.0
2020,1636,13.0,1.0
2020,1640,104.0,1.0
2020,1641,57.0,1.0
2020,1642,24.0,1.0
2020,1643,26.0,1.0
2020,1644,6.0,1.0
2020,1645,11.0,1.0
2020,1646,9.0,1.0
2020,1647,12.0,1.0
2020,1650,12.0,1.0
2020,1651,45.0,1.0
2020,1652,14.0,1.0
2020,1653,17.0,1.0
2020,1654,200.0,1.0
2020,1655,64.0,1.0
2020,1656,27.0,1.0
2020,1657,27.0,1.0
2020,1658,16.0,1.0
2020,1667,160.0,1.0
2020,1668,96.0,1.0
2020,1676,418.0,1.0
2020,1677,4.0,1.0
2020,1678,2.0,1.0
2020,1679,4.0,1.0
2020,1680,4.0,1.0
2020,1681,2.0,1.0
2020,1682,2.0,1.0
2020,1683,2.0,1.0
2020,1687,18.0,1.0
2020,1688,31.0,1.0
2020,1689,3.0,1.0
2020,1690,47.0,1.0
2020,1693,49.0,1.0
2020,1694,44.0,1.0
2020,1697,40.0,1.0
2020,1698,27.0,1.0
2020,1703,21.0,1.0
2020,1706,75.0,1.0
2020,1708,129.0,1.0
2020,1712,14.0,1.0
2020,1713,180.0,1.0
2020,1714,15.0,1.0
2020,1715,20.0,1.0
2020,1716,5.0,1.0
2020,1717,63.0,1.0
2020,1718,124.0,1.0
2020,1719,87.0,1.0
2020,1724,53.0,1.0
2020,1725,48.0,1.0
2020,1730,86.0,1.0
2020,1731,68.0,1.0
2020,1735,41.0,1.0
2020,1736,45.0,1.0
2020,1737,17.0,1.0
2020,1738,16.0,1.0
2020,1739,3.0,1.0
2020,1741,64.0,1.0
2020,1742,40.0,1.0
2020,1743,34.0,1.0
2020,1749,1.0,1.0
2020,1751,42.0,1.0
2020,1752,1.0,1.0
2020,1755,56.0,1.0
2020,1762,102.0,1.0
2020,1763,18.0,1.0
2020,1764,30.0,1.0
2020,1765,139.0,1.0
2020,1766,4.0,1.0
2020,1767,10.0,1.0
2020,1769,119.0,1.0
2020,1770,123.0,1.0
2020,1771,77.0,1.0
2020,1774,17.0,1.0
2020,1775,12.0,1.0
2020,1776,7.0,1.0
2020,1778,45.0,1.0
2020,1779,110.0,1.0
2020,1780,63.0,1.0
