codigo snies del programa,año,semestre,total
4255.0,2000.0,1,52.0
4319.0,2000.0,1,81.0
4595.0,2000.0,1,103.0
5114.0,2000.0,1,204.0
6419.0,2000.0,1,108.0
8025.0,2000.0,1,52.0
1690.0,2000.0,1,164.0
1691.0,2000.0,1,26.0
1692.0,2000.0,1,62.0
1693.0,2000.0,1,223.0
1694.0,2000.0,1,72.0
2611.0,2000.0,1,51.0
3291.0,2000.0,1,45.0
3586.0,2000.0,1,13.0
4167.0,2000.0,1,213.0
4169.0,2000.0,1,223.0
4339.0,2000.0,1,22.0
6532.0,2000.0,1,19.0
6692.0,2000.0,1,41.0
8255.0,2000.0,1,166.0
1706.0,2000.0,1,96.0
1707.0,2000.0,1,117.0
1708.0,2000.0,1,108.0
3237.0,2000.0,1,78.0
5095.0,2000.0,1,303.0
5152.0,2000.0,1,44.0
5244.0,2000.0,1,109.0
6039.0,2000.0,1,46.0
6075.0,2000.0,1,38.0
6686.0,2000.0,1,77.0
7093.0,2000.0,1,37.0
7094.0,2000.0,1,170.0
7095.0,2000.0,1,283.0
7800.0,2000.0,1,203.0
7801.0,2000.0,1,110.0
9480.0,2000.0,1,56.0
11329.0,2000.0,1,43.0
1715.0,2000.0,1,88.0
1716.0,2000.0,1,75.0
1717.0,2000.0,1,139.0
1718.0,2000.0,1,1040.0
1719.0,2000.0,1,376.0
3728.0,2000.0,1,699.0
4710.0,2000.0,1,64.0
4714.0,2000.0,1,13.0
4770.0,2000.0,1,99.0
5110.0,2000.0,1,135.0
7740.0,2000.0,1,23.0
401.0,2000.0,1,381.0
403.0,2000.0,1,1357.0
404.0,2000.0,1,746.0
405.0,2000.0,1,309.0
410.0,2000.0,1,792.0
411.0,2000.0,1,354.0
413.0,2000.0,1,976.0
416.0,2000.0,1,226.0
417.0,2000.0,1,92.0
418.0,2000.0,1,293.0
