codigo snies del programa,año,semestre,graduados
1293.0,2009.0,2,65.0
1294.0,2009.0,2,13.0
1295.0,2009.0,2,53.0
1296.0,2009.0,2,5.0
1297.0,2009.0,2,80.0
1298.0,2009.0,2,18.0
1299.0,2009.0,2,15.0
1301.0,2009.0,2,6.0
1302.0,2009.0,2,3.0
1303.0,2009.0,2,2.0
1304.0,2009.0,2,2.0
1305.0,2009.0,2,5.0
1307.0,2009.0,2,5.0
1308.0,2009.0,2,1.0
1310.0,2009.0,2,2.0
1311.0,2009.0,2,2.0
1312.0,2009.0,2,5.0
1313.0,2009.0,2,1.0
1314.0,2009.0,2,1.0
1315.0,2009.0,2,4.0
1316.0,2009.0,2,1.0
1318.0,2009.0,2,1.0
1319.0,2009.0,2,1.0
1323.0,2009.0,2,131.0
1324.0,2009.0,2,25.0
1325.0,2009.0,2,61.0
1326.0,2009.0,2,29.0
1328.0,2009.0,2,62.0
1330.0,2009.0,2,36.0
1331.0,2009.0,2,40.0
1332.0,2009.0,2,33.0
1334.0,2009.0,2,2.0
1335.0,2009.0,2,90.0
1336.0,2009.0,2,40.0
1337.0,2009.0,2,47.0
1338.0,2009.0,2,83.0
1339.0,2009.0,2,9.0
1340.0,2009.0,2,16.0
1347.0,2009.0,2,18.0
1348.0,2009.0,2,29.0
1349.0,2009.0,2,20.0
1350.0,2009.0,2,22.0
1361.0,2009.0,2,71.0
1363.0,2009.0,2,9.0
1365.0,2009.0,2,3.0
1366.0,2009.0,2,23.0
1371.0,2009.0,2,7.0
1372.0,2009.0,2,14.0
1373.0,2009.0,2,7.0
1380.0,2009.0,2,115.0
1381.0,2009.0,2,432.0
1383.0,2009.0,2,46.0
1384.0,2009.0,2,80.0
1385.0,2009.0,2,172.0
1386.0,2009.0,2,64.0
1387.0,2009.0,2,12.0
1389.0,2009.0,2,10.0
1392.0,2009.0,2,1.0
1394.0,2009.0,2,70.0
1395.0,2009.0,2,7.0
1396.0,2009.0,2,83.0
1398.0,2009.0,2,4.0
1399.0,2009.0,2,47.0
1402.0,2009.0,2,42.0
1403.0,2009.0,2,43.0
1414.0,2009.0,2,3.0
1415.0,2009.0,2,14.0
1421.0,2009.0,2,2.0
1422.0,2009.0,2,171.0
1425.0,2009.0,2,27.0
1426.0,2009.0,2,35.0
1430.0,2009.0,2,118.0
1431.0,2009.0,2,19.0
1432.0,2009.0,2,22.0
1433.0,2009.0,2,65.0
1434.0,2009.0,2,34.0
1435.0,2009.0,2,3.0
1436.0,2009.0,2,4.0
1439.0,2009.0,2,64.0
1441.0,2009.0,2,49.0
1442.0,2009.0,2,53.0
1444.0,2009.0,2,154.0
1445.0,2009.0,2,10.0
1446.0,2009.0,2,39.0
1447.0,2009.0,2,14.0
1448.0,2009.0,2,26.0
1449.0,2009.0,2,28.0
1450.0,2009.0,2,54.0
1451.0,2009.0,2,27.0
1453.0,2009.0,2,15.0
1454.0,2009.0,2,29.0
1460.0,2009.0,2,3.0
1461.0,2009.0,2,1.0
1464.0,2009.0,2,5.0
1466.0,2009.0,2,25.0
1475.0,2009.0,2,235.0
1476.0,2009.0,2,128.0
1477.0,2009.0,2,70.0
1483.0,2009.0,2,260.0
1485.0,2009.0,2,55.0
1487.0,2009.0,2,100.0
1488.0,2009.0,2,33.0
1489.0,2009.0,2,34.0
1490.0,2009.0,2,31.0
1491.0,2009.0,2,22.0
1492.0,2009.0,2,117.0
1493.0,2009.0,2,21.0
1494.0,2009.0,2,36.0
1495.0,2009.0,2,84.0
1496.0,2009.0,2,11.0
1497.0,2009.0,2,181.0
1498.0,2009.0,2,74.0
1499.0,2009.0,2,68.0
