año,codigo snies del programa,matriculados,semestre
2018,3318,3,1
2018,3319,10,1
2018,3325,2,1
2018,3327,1,1
2018,3329,12,1
2018,3345,8,1
2018,3347,32,1
2018,3348,27,1
2018,3425,15,1
2018,3426,2,1
2018,3429,4,1
2018,3431,22,1
2018,3435,3,1
2018,3436,17,1
2018,3437,35,1
2018,3439,14,1
2018,3440,14,1
2018,3450,3,1
2018,3454,30,1
2018,3460,34,1
2018,3461,1,1
2018,3462,2,1
2018,3465,2,1
2018,3474,23,1
2018,3476,1,1
2018,3483,5,1
2018,3489,15,1
2018,3492,9,1
2018,3495,3,1
2018,3496,1,1
2018,3500,2,1
2018,3511,62,1
2018,3517,7,1
2018,3518,13,1
2018,3521,13,1
2018,3527,94,1
2018,3529,80,1
2018,3538,25,1
2018,3539,14,1
2018,3549,23,1
2018,3552,11,1
2018,3553,12,1
2018,3558,16,1
2018,3559,41,1
2018,3560,5,1
2018,3563,24,1
2018,3568,34,1
2018,3571,60,1
2018,3573,19,1
2018,3581,21,1
2018,3588,1,1
2018,3597,1,1
2018,3602,8,1
2018,3607,42,1
2018,3608,14,1
