año,codigo snies del programa,inscritos,semestre
2016,2192,32,2
2016,2205,22,2
2016,2206,53,2
2016,2217,28,2
2016,2234,66,2
2016,2264,10,2
2016,2296,18,2
2016,2314,34,2
2016,2345,29,2
2016,2361,3,2
2016,2362,12,2
2016,2377,29,2
2016,2381,275,2
2016,2382,450,2
2016,2383,29,2
2016,2384,282,2
2016,2402,10,2
2016,2414,33,2
2016,2425,2,2
2016,2427,21,2
2016,2436,2,2
2016,2437,18,2
2016,2438,4,2
2016,2445,32,2
2016,2446,145,2
2016,2450,6,2
2016,2458,1,2
2016,2459,72,2
2016,2460,217,2
2016,2470,33,2
2016,2483,28,2
2016,2484,37,2
2016,2501,3,2
2016,2505,2,2
2016,2506,43,2
2016,2513,1,2
2016,2518,657,2
2016,2519,100,2
2016,2520,46,2
2016,2521,28,2
2016,2522,34,2
2016,2523,25,2
2016,2524,93,2
2016,2525,40,2
2016,2526,20,2
2016,2539,24,2
2016,2540,713,2
2016,2541,85,2
2016,2542,112,2
2016,2543,42,2
2016,2546,40,2
2016,2547,32,2
2016,2548,40,2
2016,2555,46,2
2016,2562,81,2
2016,2563,203,2
2016,2564,16,2
2016,2566,4,2
2016,2568,6,2
2016,2579,308,2
2016,2584,18,2
2016,2586,32,2
2016,2588,27,2
2016,2603,16,2
2016,2604,2,2
2016,2611,133,2
2016,2612,50,2
2016,2616,58,2
2016,2617,88,2
2016,2618,17,2
2016,2621,11,2
2016,2623,46,2
2016,2628,24,2
2016,2633,182,2
2016,2634,47,2
2016,2636,156,2
2016,2648,163,2
2016,2652,126,2
2016,2653,10,2
2016,2654,55,2
2016,2671,23,2
2016,2674,7,2
2016,2677,12,2
2016,2683,479,2
2016,2684,21,2
2016,2686,75,2
2016,2689,44,2
2016,2692,237,2
2016,2693,64,2
2016,2699,7,2
2016,2706,4,2
2016,2708,1,2
2016,2709,3,2
2016,2710,134,2
2016,2713,151,2
2016,2714,391,2
2016,2715,108,2
2016,2718,10,2
2016,2721,228,2
2016,2723,78,2
2016,2730,13,2
2016,2731,38,2
2016,2738,12,2
2016,2744,55,2
2016,2746,19,2
2016,2750,40,2
2016,2754,33,2
2016,2760,102,2
2016,2761,133,2
2016,2762,42,2
2016,2767,22,2
2016,2768,29,2
2016,2769,16,2
2016,2775,8,2
2016,2776,20,2
2016,2777,125,2
2016,2778,11,2
2016,2784,21,2
2016,2785,1,2
2016,2801,56,2
2016,2806,27,2
2016,2807,142,2
2016,2817,29,2
2016,2818,4,2
2016,2821,189,2
2016,2822,57,2
2016,2825,13,2
2016,2826,129,2
2016,2830,46,2
2016,2831,158,2
2016,2833,30,2
2016,2840,11,2
2016,2842,38,2
2016,2845,18,2
2016,2848,34,2
2016,2850,139,2
2016,2851,10,2
2016,2855,4,2
2016,2858,92,2
2016,2859,77,2
2016,2861,50,2
2016,2863,3,2
2016,2866,83,2
2016,2870,2,2
2016,2883,59,2
2016,2889,82,2
2016,2890,66,2
2016,2896,20,2
2016,2901,29,2
2016,2914,321,2
2016,2917,13,2
2016,2919,68,2
2016,2922,64,2
2016,2923,27,2
2016,2929,176,2
2016,2935,29,2
2016,2937,325,2
2016,2949,22,2
2016,2965,18,2
2016,2971,67,2
2016,2972,149,2
2016,2973,33,2
2016,2977,72,2
2016,2978,4,2
2016,2980,2,2
2016,2989,59,2
2016,2992,118,2
2016,2993,126,2
2016,2995,28,2
2016,3003,48,2
2016,3004,2,2
2016,3006,47,2
2016,3015,80,2
2016,3020,296,2
2016,3024,1,2
2016,3026,1,2
2016,3040,9,2
2016,3046,56,2
2016,3047,20,2
2016,3048,278,2
2016,3054,89,2
2016,3055,53,2
2016,3061,18,2
2016,3062,18,2
2016,3069,4,2
2016,3078,155,2
2016,3079,143,2
2016,3087,170,2
2016,3093,18,2
2016,3096,3,2
2016,3127,105,2
2016,3134,34,2
2016,3136,27,2
2016,3137,20,2
2016,3139,32,2
2016,3141,73,2
2016,3143,56,2
2016,3147,458,2
2016,3149,32,2
2016,3152,96,2
2016,3165,9,2
2016,3167,15,2
2016,3174,34,2
2016,3175,43,2
2016,3177,60,2
2016,3182,98,2
2016,3190,36,2
2016,3193,54,2
2016,3194,31,2
2016,3204,65,2
2016,3205,71,2
2016,3207,114,2
2016,3208,78,2
