año,codigo snies del programa,matriculados,semestre
2020,1976,2087,2
2020,1977,763,2
2020,1980,1425,2
2020,1981,414,2
2020,1982,239,2
2020,1983,282,2
2020,1984,172,2
2020,1985,44,2
2020,1988,249,2
2020,1989,355,2
2020,1991,498,2
2020,1993,3,2
2020,2004,121,2
2020,2009,64,2
2020,2016,216,2
2020,2026,99,2
2020,2034,1,2
2020,2035,28,2
2020,2037,69,2
2020,2039,300,2
2020,2040,493,2
2020,2046,77,2
2020,2048,20,2
2020,2049,58,2
2020,2051,621,2
2020,2052,579,2
2020,2053,110,2
2020,2054,930,2
2020,2055,428,2
2020,2056,56,2
2020,2063,195,2
2020,2065,325,2
2020,2068,450,2
2020,2069,254,2
2020,2070,485,2
2020,2071,130,2
2020,2076,682,2
2020,2078,154,2
2020,2086,91,2
2020,2087,116,2
2020,2088,61,2
2020,2093,93,2
2020,2094,81,2
2020,2095,12,2
2020,2097,3,2
2020,2098,155,2
2020,2111,49,2
2020,2114,308,2
2020,2115,71,2
2020,2119,8,2
2020,2131,319,2
2020,2134,512,2
2020,2145,78,2
2020,2162,24,2
2020,2168,79,2
2020,2180,2,2
2020,2189,108,2
2020,2190,144,2
2020,2191,153,2
2020,2192,52,2
2020,2205,30,2
2020,2206,179,2
2020,2217,86,2
2020,2234,537,2
2020,2239,44,2
2020,2249,171,2
2020,2264,1,2
2020,2265,3,2
2020,2268,195,2
2020,2337,130,2
2020,2377,2,2
2020,2380,1,2
2020,2381,167,2
2020,2382,54,2
2020,2383,4,2
2020,2384,33,2
2020,2402,8,2
2020,2414,159,2
2020,2427,14,2
2020,2445,163,2
2020,2446,234,2
2020,2448,1,2
2020,2449,52,2
2020,2453,6,2
2020,2459,239,2
2020,2460,558,2
2020,2469,6,2
2020,2470,61,2
2020,2497,259,2
2020,2501,10,2
2020,2503,10,2
2020,2504,9,2
2020,2506,16,2
2020,2508,2,2
2020,2512,2,2
2020,2513,5,2
2020,2518,1323,2
2020,2519,688,2
2020,2520,101,2
2020,2521,45,2
2020,2522,97,2
2020,2523,55,2
2020,2524,710,2
2020,2525,296,2
2020,2526,105,2
2020,2531,1,2
2020,2533,6,2
2020,2534,85,2
2020,2535,1,2
2020,2536,3,2
2020,2537,55,2
2020,2538,16,2
2020,2539,157,2
2020,2540,1079,2
2020,2541,207,2
2020,2542,344,2
2020,2543,152,2
2020,2546,59,2
2020,2547,12,2
2020,2548,7,2
2020,2549,148,2
2020,2550,1,2
2020,2555,251,2
2020,2561,18,2
2020,2562,697,2
2020,2563,786,2
2020,2564,129,2
2020,2566,78,2
2020,2568,151,2
2020,2572,12,2
2020,2579,1380,2
2020,2584,7,2
2020,2586,59,2
2020,2588,39,2
2020,2603,30,2
2020,2604,20,2
2020,2605,39,2
2020,2606,4,2
2020,2612,224,2
2020,2616,89,2
2020,2617,195,2
2020,2618,56,2
2020,2621,9,2
2020,2622,9,2
2020,2623,448,2
2020,2625,1,2
2020,2628,33,2
2020,2631,1,2
2020,2633,536,2
2020,2634,570,2
2020,2636,626,2
2020,2648,146,2
2020,2651,127,2
2020,2652,304,2
2020,2653,6,2
2020,2654,30,2
2020,2657,1,2
2020,2671,109,2
2020,2674,30,2
2020,2677,41,2
2020,2683,539,2
2020,2684,27,2
2020,2686,161,2
2020,2689,326,2
2020,2690,17,2
2020,2692,917,2
2020,2693,269,2
2020,2699,67,2
2020,2706,2,2
2020,2708,2,2
2020,2709,2,2
2020,2710,14,2
2020,2713,512,2
2020,2714,298,2
2020,2715,320,2
2020,2718,107,2
2020,2721,1033,2
2020,2722,1018,2
2020,2723,506,2
2020,2730,112,2
2020,2731,233,2
2020,2738,20,2
2020,2744,18,2
2020,2746,105,2
2020,2750,96,2
2020,2754,224,2
2020,2759,2,2
2020,2760,426,2
2020,2761,400,2
2020,2762,238,2
2020,2763,2,2
2020,2767,241,2
2020,2768,37,2
2020,2769,30,2
2020,2775,57,2
2020,2776,73,2
2020,2777,460,2
2020,2778,12,2
2020,2779,2,2
2020,2784,105,2
2020,2785,1,2
2020,2799,3,2
2020,2801,174,2
2020,2806,93,2
2020,2807,231,2
2020,2821,479,2
2020,2822,14,2
2020,2825,56,2
2020,2826,364,2
2020,2829,228,2
2020,2830,218,2
2020,2831,477,2
2020,2833,48,2
2020,2840,13,2
2020,2842,197,2
2020,2845,19,2
2020,2848,5,2
2020,2850,517,2
2020,2854,13,2
2020,2855,44,2
2020,2859,178,2
2020,2861,240,2
2020,2863,11,2
2020,2866,305,2
2020,2870,14,2
2020,2883,152,2
2020,2887,274,2
2020,2888,149,2
2020,2889,270,2
2020,2890,223,2
2020,2891,211,2
2020,2896,12,2
2020,2901,45,2
2020,2914,502,2
2020,2917,6,2
2020,2919,71,2
2020,2922,92,2
2020,2923,115,2
2020,2929,484,2
2020,2935,164,2
2020,2937,907,2
2020,2949,97,2
2020,2963,2,2
2020,2964,13,2
2020,2965,48,2
2020,2966,332,2
2020,2971,13,2
2020,2972,343,2
